date,date2,BTC,ETH,LTC,TRX,FNG,XRP
43132.00,01/02/2018,9039.865075,1019.171008,141.1840882,0,30,0.941342185
43133.00,02/02/2018,8786.07738,912.8209287,130.6034915,0,15,0.894631703
43134.00,03/02/2018,9132.100322,960.8938261,157.1001989,0,40,0.942659178
43135.00,04/02/2018,8250.526896,836.6724573,149.3736047,0,24,0.824120468
43136.00,05/02/2018,6849.542559,692.7628273,124.3624692,0,11,0.671327297
43137.00,06/02/2018,7738.64396,789.0430207,143.0908969,0,8,0.765304705
43138.00,07/02/2018,7624.59539,754.5365748,138.5506252,0,36,0.713293782
43139.00,08/02/2018,8218.580852,808.4506335,148.9566905,0,30,0.77260969
43140.00,09/02/2018,8660.453468,873.5673743,162.326773,0,44,0.906066364
43141.00,10/02/2018,8530.292805,850.7148495,155.0028618,0,54,1.032910611
43142.00,11/02/2018,8096.728481,814.7832709,150.159758,0,31,0.965454296
43143.00,12/02/2018,8907.670179,867.5724404,161.8807317,0,42,1.046416974
43144.00,13/02/2018,8523.966932,840.0907838,158.6938647,0,35,0.985900421
43145.00,14/02/2018,9467.301033,920.4636815,212.8589599,0,55,1.131710058
43146.00,15/02/2018,10106.73308,929.8692157,222.4078875,0,71,1.112982612
43147.00,16/02/2018,10189.31648,939.3394573,229.0138081,0,67,1.114200584
43148.00,17/02/2018,11085.59841,975.2318063,229.4333523,0,74,1.179747733
43149.00,18/02/2018,10452.09198,915.3109056,214.8216337,0,63,1.075575267
43150.00,19/02/2018,11139.35573,937.8401832,221.642902,0,67,1.107711488
43151.00,20/02/2018,11245.93232,885.5531411,229.4842583,0,74,1.025785673
43152.00,21/02/2018,10458.86509,840.667043,210.7117251,0,54,0.951413067
43153.00,22/02/2018,9878.158943,807.0768989,194.1288717,0,44,0.895772588
43154.00,23/02/2018,10159.06561,855.767194,207.2797685,0,39,0.943102238
43155.00,24/02/2018,9686.60178,834.0028463,206.0923933,0,31,0.902875271
43156.00,25/02/2018,9603.227477,842.31172,217.5729657,0,33,0.90456583
43157.00,26/02/2018,10312.36571,865.8630392,218.8425629,0,37,0.927405678
43158.00,27/02/2018,10654.10729,875.0529819,215.6255961,0,44,0.931317195
43159.00,28/02/2018,10307.02497,851.3236464,202.4085658,0,41,0.883394268
43160.00,01/03/2018,10923.63086,869.3022668,209.2688835,0,38,0.915277916
43161.00,02/03/2018,11014.05847,855.3528577,210.5137892,0,47,0.898498065
43162.00,03/03/2018,11425.68057,854.3875695,210.141016,0,56,0.895876844
43163.00,04/03/2018,11462.5832,861.1307224,212.2667495,0,44,0.998516848
43164.00,05/03/2018,11540.66232,851.6087531,210.7678251,0,55,0.944510628
43165.00,06/03/2018,10677.03523,812.3461929,195.9441811,0,59,0.898266167
43166.00,07/03/2018,9903.085049,751.754232,185.8875168,0,37,0.853065153
43167.00,08/03/2018,9330.475453,699.337429,176.3211837,0,39,0.808905852
43168.00,09/03/2018,9278.139184,725.3109068,186.7528714,0,37,0.827671672
